Date	Date (UTC)	Month	Day	Hour (UTC)	Water temp
3.46	1/4/13	1	4	11	9.27
3.5	1/4/13	1	4	12	9.27
3.54	1/4/13	1	4	13	9.28
3.58	1/4/13	1	4	14	9.28
3.62	1/4/13	1	4	15	9.28
3.67	1/4/13	1	4	16	9.29
3.71	1/4/13	1	4	17	9.29
3.75	1/4/13	1	4	18	9.29
3.79	1/4/13	1	4	19	9.3
3.83	1/4/13	1	4	20	9.3
3.87	1/4/13	1	4	21	9.3
3.92	1/4/13	1	4	22	9.31
3.96	1/4/13	1	4	23	9.31
4	1/5/13	1	5	0	9.31
4.04	1/5/13	1	5	1	9.32
4.08	1/5/13	1	5	2	9.32
4.12	1/5/13	1	5	3	9.32
4.17	1/5/13	1	5	4	9.33
4.21	1/5/13	1	5	5	9.33
4.25	1/5/13	1	5	6	9.33
4.29	1/5/13	1	5	7	9.34
4.33	1/5/13	1	5	8	9.34
4.37	1/5/13	1	5	9	9.34
4.42	1/5/13	1	5	10	9.35
4.46	1/5/13	1	5	11	9.35
4.5	1/5/13	1	5	12	9.35
4.54	1/5/13	1	5	13	9.36
4.58	1/5/13	1	5	14	9.36
4.62	1/5/13	1	5	15	9.36
4.67	1/5/13	1	5	16	9.37
4.71	1/5/13	1	5	17	9.37
4.75	1/5/13	1	5	18	9.37
4.79	1/5/13	1	5	19	9.38
4.83	1/5/13	1	5	20	9.38
4.87	1/5/13	1	5	21	9.38
4.92	1/5/13	1	5	22	9.39
4.96	1/5/13	1	5	23	9.39
5	1/6/13	1	6	0	9.39
5.04	1/6/13	1	6	1	9.4
5.08	1/6/13	1	6	2	9.4
5.12	1/6/13	1	6	3	9.4
5.17	1/6/13	1	6	4	9.41
5.21	1/6/13	1	6	5	9.41
5.25	1/6/13	1	6	6	9.41
5.29	1/6/13	1	6	7	9.42
5.33	1/6/13	1	6	8	9.42
5.37	1/6/13	1	6	9	9.42
5.42	1/6/13	1	6	10	9.43
5.46	1/6/13	1	6	11	9.43
5.5	1/6/13	1	6	12	9.43
5.54	1/6/13	1	6	13	9.44
5.58	1/6/13	1	6	14	9.44
5.62	1/6/13	1	6	15	9.44
5.67	1/6/13	1	6	16	9.44
5.71	1/6/13	1	6	17	9.45
5.75	1/6/13	1	6	18	9.45
5.79	1/6/13	1	6	19	9.45
5.83	1/6/13	1	6	20	9.46
5.87	1/6/13	1	6	21	9.46
5.92	1/6/13	1	6	22	9.46
5.96	1/6/13	1	6	23	9.47
6	1/7/13	1	7	0	9.47
6.04	1/7/13	1	7	1	9.47
6.08	1/7/13	1	7	2	9.48
6.12	1/7/13	1	7	3	9.48
6.17	1/7/13	1	7	4	9.48
6.21	1/7/13	1	7	5	9.49
6.25	1/7/13	1	7	6	9.49
6.29	1/7/13	1	7	7	9.49
6.33	1/7/13	1	7	8	9.5
6.37	1/7/13	1	7	9	9.5
6.42	1/7/13	1	7	10	9.5
6.46	1/7/13	1	7	11	9.51
6.5	1/7/13	1	7	12	9.51
6.54	1/7/13	1	7	13	9.51
6.58	1/7/13	1	7	14	9.52
6.62	1/7/13	1	7	15	9.52
6.67	1/7/13	1	7	16	9.52
6.71	1/7/13	1	7	17	9.53
6.75	1/7/13	1	7	18	9.53
6.79	1/7/13	1	7	19	9.53
6.83	1/7/13	1	7	20	9.54
6.87	1/7/13	1	7	21	9.54
6.92	1/7/13	1	7	22	9.54
6.96	1/7/13	1	7	23	9.55
7	1/8/13	1	8	0	9.55
7.04	1/8/13	1	8	1	9.55
7.08	1/8/13	1	8	2	9.56
7.12	1/8/13	1	8	3	9.56
7.17	1/8/13	1	8	4	9.56
7.21	1/8/13	1	8	5	9.57
7.25	1/8/13	1	8	6	9.57
7.29	1/8/13	1	8	7	9.57
7.33	1/8/13	1	8	8	9.58
7.37	1/8/13	1	8	9	9.58
7.42	1/8/13	1	8	10	9.58
7.46	1/8/13	1	8	11	9.59
7.5	1/8/13	1	8	12	9.59
7.54	1/8/13	1	8	13	9.59
7.58	1/8/13	1	8	14	9.6
7.62	1/8/13	1	8	15	9.6
7.67	1/8/13	1	8	16	9.6
7.71	1/8/13	1	8	17	9.6
7.75	1/8/13	1	8	18	9.61
7.79	1/8/13	1	8	19	9.61
7.83	1/8/13	1	8	20	9.61
7.87	1/8/13	1	8	21	9.62
7.92	1/8/13	1	8	22	9.62
7.96	1/8/13	1	8	23	9.62
8	1/9/13	1	9	0	9.63
8.04	1/9/13	1	9	1	9.63
8.08	1/9/13	1	9	2	9.63
8.12	1/9/13	1	9	3	9.64
8.17	1/9/13	1	9	4	9.64
8.21	1/9/13	1	9	5	9.64
8.25	1/9/13	1	9	6	9.65
8.29	1/9/13	1	9	7	9.65
8.33	1/9/13	1	9	8	9.65
8.37	1/9/13	1	9	9	9.66
8.42	1/9/13	1	9	10	9.66
8.46	1/9/13	1	9	11	9.66
8.5	1/9/13	1	9	12	9.67
8.54	1/9/13	1	9	13	9.67
8.58	1/9/13	1	9	14	9.67
8.62	1/9/13	1	9	15	9.68
8.67	1/9/13	1	9	16	9.68
8.71	1/9/13	1	9	17	9.68
8.75	1/9/13	1	9	18	9.69
8.79	1/9/13	1	9	19	9.69
8.83	1/9/13	1	9	20	9.69
8.87	1/9/13	1	9	21	9.7
8.92	1/9/13	1	9	22	9.7
8.96	1/9/13	1	9	23	9.7
9	1/10/13	1	10	0	9.71
9.04	1/10/13	1	10	1	9.71
9.08	1/10/13	1	10	2	9.71
9.12	1/10/13	1	10	3	9.72
9.17	1/10/13	1	10	4	9.72
9.21	1/10/13	1	10	5	9.72
9.25	1/10/13	1	10	6	9.73
9.29	1/10/13	1	10	7	9.73
9.33	1/10/13	1	10	8	9.73
9.37	1/10/13	1	10	9	9.74
9.42	1/10/13	1	10	10	9.74
9.46	1/10/13	1	10	11	9.74
9.5	1/10/13	1	10	12	9.75
9.54	1/10/13	1	10	13	9.75
9.58	1/10/13	1	10	14	9.75
9.62	1/10/13	1	10	15	9.76
9.67	1/10/13	1	10	16	9.76
9.71	1/10/13	1	10	17	9.76
9.75	1/10/13	1	10	18	9.76
9.79	1/10/13	1	10	19	9.77
9.83	1/10/13	1	10	20	9.77
9.87	1/10/13	1	10	21	9.77
9.92	1/10/13	1	10	22	9.78
9.96	1/10/13	1	10	23	9.78
10	1/11/13	1	11	0	9.78
10.04	1/11/13	1	11	1	9.79
10.08	1/11/13	1	11	2	9.79
10.12	1/11/13	1	11	3	9.79
10.17	1/11/13	1	11	4	9.8
10.21	1/11/13	1	11	5	9.8
10.25	1/11/13	1	11	6	9.8
10.29	1/11/13	1	11	7	9.81
10.33	1/11/13	1	11	8	9.81
10.37	1/11/13	1	11	9	9.81
10.42	1/11/13	1	11	10	9.82
10.46	1/11/13	1	11	11	9.82
10.5	1/11/13	1	11	12	9.82
10.54	1/11/13	1	11	13	9.83
10.58	1/11/13	1	11	14	9.83
10.62	1/11/13	1	11	15	9.83
10.67	1/11/13	1	11	16	9.84
10.71	1/11/13	1	11	17	9.84
10.75	1/11/13	1	11	18	9.84
10.79	1/11/13	1	11	19	9.85
10.83	1/11/13	1	11	20	9.85
10.87	1/11/13	1	11	21	9.85
10.92	1/11/13	1	11	22	9.86
10.96	1/11/13	1	11	23	9.86
11	1/12/13	1	12	0	9.86
11.04	1/12/13	1	12	1	9.87
11.08	1/12/13	1	12	2	9.87
11.12	1/12/13	1	12	3	9.87
11.17	1/12/13	1	12	4	9.88
11.21	1/12/13	1	12	5	9.88
11.25	1/12/13	1	12	6	9.88
11.29	1/12/13	1	12	7	9.89
11.33	1/12/13	1	12	8	9.89
11.37	1/12/13	1	12	9	9.89
11.42	1/12/13	1	12	10	9.9
11.46	1/12/13	1	12	11	9.9
11.5	1/12/13	1	12	12	9.9
11.54	1/12/13	1	12	13	9.9
11.58	1/12/13	1	12	14	9.91
11.62	1/12/13	1	12	15	9.91
11.67	1/12/13	1	12	16	9.91
11.71	1/12/13	1	12	17	9.92
11.75	1/12/13	1	12	18	9.92
11.79	1/12/13	1	12	19	9.92
11.83	1/12/13	1	12	20	9.93
11.87	1/12/13	1	12	21	9.93
11.92	1/12/13	1	12	22	9.93
11.96	1/12/13	1	12	23	9.94
12	1/13/13	1	13	0	9.94
12.04	1/13/13	1	13	1	9.94
12.08	1/13/13	1	13	2	9.95
12.12	1/13/13	1	13	3	9.95
12.17	1/13/13	1	13	4	9.95
12.21	1/13/13	1	13	5	9.96
12.25	1/13/13	1	13	6	9.96
12.29	1/13/13	1	13	7	9.96
12.33	1/13/13	1	13	8	9.97
12.37	1/13/13	1	13	9	9.97
12.42	1/13/13	1	13	10	9.97
12.46	1/13/13	1	13	11	9.98
12.5	1/13/13	1	13	12	9.98
12.54	1/13/13	1	13	13	9.98
12.58	1/13/13	1	13	14	9.99
12.62	1/13/13	1	13	15	9.99
12.67	1/13/13	1	13	16	9.99
12.71	1/13/13	1	13	17	10
12.75	1/13/13	1	13	18	10
12.79	1/13/13	1	13	19	10
12.83	1/13/13	1	13	20	10.01
12.87	1/13/13	1	13	21	10.01
12.92	1/13/13	1	13	22	10.01
12.96	1/13/13	1	13	23	10.02
13	1/14/13	1	14	0	10.02
13.04	1/14/13	1	14	1	10.02
13.08	1/14/13	1	14	2	10.03
13.12	1/14/13	1	14	3	10.03
13.17	1/14/13	1	14	4	10.03
13.21	1/14/13	1	14	5	10.04
13.25	1/14/13	1	14	6	10.04
13.29	1/14/13	1	14	7	10.04
13.33	1/14/13	1	14	8	10.04
13.37	1/14/13	1	14	9	10.05
13.42	1/14/13	1	14	10	10.05
13.46	1/14/13	1	14	11	10.05
13.5	1/14/13	1	14	12	10.06
13.54	1/14/13	1	14	13	10.06
13.58	1/14/13	1	14	14	10.06
13.62	1/14/13	1	14	15	10.07
13.67	1/14/13	1	14	16	10.07
13.71	1/14/13	1	14	17	10.07
13.75	1/14/13	1	14	18	10.08
13.79	1/14/13	1	14	19	10.08
13.83	1/14/13	1	14	20	10.08
13.87	1/14/13	1	14	21	10.09
13.92	1/14/13	1	14	22	10.09
13.96	1/14/13	1	14	23	10.09
14	1/15/13	1	15	0	10.1
14.04	1/15/13	1	15	1	10.1
14.08	1/15/13	1	15	2	10.1
14.12	1/15/13	1	15	3	10.11
14.17	1/15/13	1	15	4	10.11
14.21	1/15/13	1	15	5	10.11
14.25	1/15/13	1	15	6	10.12
14.29	1/15/13	1	15	7	10.12
14.33	1/15/13	1	15	8	10.12
14.37	1/15/13	1	15	9	10.13
14.42	1/15/13	1	15	10	10.13
14.46	1/15/13	1	15	11	10.13
14.5	1/15/13	1	15	12	10.14
14.54	1/15/13	1	15	13	10.14
14.58	1/15/13	1	15	14	10.14
14.62	1/15/13	1	15	15	10.15
14.67	1/15/13	1	15	16	10.15
14.71	1/15/13	1	15	17	10.15
14.75	1/15/13	1	15	18	10.16
14.79	1/15/13	1	15	19	10.16
14.83	1/15/13	1	15	20	10.16
14.87	1/15/13	1	15	21	10.16
14.92	1/15/13	1	15	22	10.17
14.96	1/15/13	1	15	23	10.17
15	1/16/13	1	16	0	10.17
15.04	1/16/13	1	16	1	10.18
15.08	1/16/13	1	16	2	10.18
15.12	1/16/13	1	16	3	10.18
15.17	1/16/13	1	16	4	10.19
15.21	1/16/13	1	16	5	10.19
15.25	1/16/13	1	16	6	10.19
15.29	1/16/13	1	16	7	10.2
15.33	1/16/13	1	16	8	10.2
15.37	1/16/13	1	16	9	10.2
15.42	1/16/13	1	16	10	10.21
15.46	1/16/13	1	16	11	10.21
15.5	1/16/13	1	16	12	10.21
15.54	1/16/13	1	16	13	10.22
15.58	1/16/13	1	16	14	10.22
15.62	1/16/13	1	16	15	10.22
15.67	1/16/13	1	16	16	10.23
15.71	1/16/13	1	16	17	10.23
15.75	1/16/13	1	16	18	10.23
15.79	1/16/13	1	16	19	10.24
15.83	1/16/13	1	16	20	10.24
15.87	1/16/13	1	16	21	10.24
15.92	1/16/13	1	16	22	10.25
15.96	1/16/13	1	16	23	10.25
16	1/17/13	1	17	0	10.25
16.04	1/17/13	1	17	1	10.26
16.08	1/17/13	1	17	2	10.26
16.12	1/17/13	1	17	3	10.26
16.17	1/17/13	1	17	4	10.27
16.21	1/17/13	1	17	5	10.27
16.25	1/17/13	1	17	6	10.27
16.29	1/17/13	1	17	7	10.28
16.33	1/17/13	1	17	8	10.28
16.37	1/17/13	1	17	9	10.28
16.42	1/17/13	1	17	10	10.28
16.46	1/17/13	1	17	11	10.29
16.5	1/17/13	1	17	12	10.29
16.54	1/17/13	1	17	13	10.29
16.58	1/17/13	1	17	14	10.3
16.62	1/17/13	1	17	15	10.3
16.67	1/17/13	1	17	16	10.3
16.71	1/17/13	1	17	17	10.31
16.75	1/17/13	1	17	18	10.31
16.79	1/17/13	1	17	19	10.31
16.83	1/17/13	1	17	20	10.32
16.87	1/17/13	1	17	21	10.32
16.92	1/17/13	1	17	22	10.32
16.96	1/17/13	1	17	23	10.33
17	1/18/13	1	18	0	10.33
17.04	1/18/13	1	18	1	10.33
17.08	1/18/13	1	18	2	10.34
17.12	1/18/13	1	18	3	10.34
17.17	1/18/13	1	18	4	10.34
17.21	1/18/13	1	18	5	10.35
17.25	1/18/13	1	18	6	10.35
17.29	1/18/13	1	18	7	10.35
17.33	1/18/13	1	18	8	10.36
17.37	1/18/13	1	18	9	10.36
17.42	1/18/13	1	18	10	10.36
17.46	1/18/13	1	18	11	10.37
17.5	1/18/13	1	18	12	10.37
17.54	1/18/13	1	18	13	10.37
17.58	1/18/13	1	18	14	10.38
17.62	1/18/13	1	18	15	10.38
17.67	1/18/13	1	18	16	10.38
17.71	1/18/13	1	18	17	10.39
17.75	1/18/13	1	18	18	10.39
17.79	1/18/13	1	18	19	10.39
17.83	1/18/13	1	18	20	10.39
17.87	1/18/13	1	18	21	10.4
17.92	1/18/13	1	18	22	10.4
17.96	1/18/13	1	18	23	10.4
18	1/19/13	1	19	0	10.41
18.04	1/19/13	1	19	1	10.41
18.08	1/19/13	1	19	2	10.41
18.12	1/19/13	1	19	3	10.42
18.17	1/19/13	1	19	4	10.42
18.21	1/19/13	1	19	5	10.42
18.25	1/19/13	1	19	6	10.43
18.29	1/19/13	1	19	7	10.43
18.33	1/19/13	1	19	8	10.43
18.37	1/19/13	1	19	9	10.44
18.42	1/19/13	1	19	10	10.44
18.46	1/19/13	1	19	11	10.44
18.5	1/19/13	1	19	12	10.45
18.54	1/19/13	1	19	13	10.45
18.58	1/19/13	1	19	14	10.45
18.62	1/19/13	1	19	15	10.46
18.67	1/19/13	1	19	16	10.46
18.71	1/19/13	1	19	17	10.46
18.75	1/19/13	1	19	18	10.47
18.79	1/19/13	1	19	19	10.47
18.83	1/19/13	1	19	20	10.47
18.87	1/19/13	1	19	21	10.48
18.92	1/19/13	1	19	22	10.48
18.96	1/19/13	1	19	23	10.48
19	1/20/13	1	20	0	10.49
19.04	1/20/13	1	20	1	10.49
19.08	1/20/13	1	20	2	10.49
19.12	1/20/13	1	20	3	10.5
19.17	1/20/13	1	20	4	10.5
19.21	1/20/13	1	20	5	10.5
19.25	1/20/13	1	20	6	10.5
19.29	1/20/13	1	20	7	10.51
19.33	1/20/13	1	20	8	10.51
19.37	1/20/13	1	20	9	10.51
19.42	1/20/13	1	20	10	10.52
19.46	1/20/13	1	20	11	10.52
19.5	1/20/13	1	20	12	10.52
19.54	1/20/13	1	20	13	10.53
19.58	1/20/13	1	20	14	10.53
19.62	1/20/13	1	20	15	10.53
19.67	1/20/13	1	20	16	10.54
19.71	1/20/13	1	20	17	10.54
19.75	1/20/13	1	20	18	10.54
19.79	1/20/13	1	20	19	10.55
19.83	1/20/13	1	20	20	10.55
19.87	1/20/13	1	20	21	10.55
19.92	1/20/13	1	20	22	10.56
19.96	1/20/13	1	20	23	10.56
20	1/21/13	1	21	0	10.56
20.04	1/21/13	1	21	1	10.57
20.08	1/21/13	1	21	2	10.57
20.12	1/21/13	1	21	3	10.57
20.17	1/21/13	1	21	4	10.58
20.21	1/21/13	1	21	5	10.58
20.25	1/21/13	1	21	6	10.58
20.29	1/21/13	1	21	7	10.59
20.33	1/21/13	1	21	8	10.59
20.37	1/21/13	1	21	9	10.59
20.42	1/21/13	1	21	10	10.6
20.46	1/21/13	1	21	11	10.6
20.5	1/21/13	1	21	12	10.6
20.54	1/21/13	1	21	13	10.6
20.58	1/21/13	1	21	14	10.61
20.62	1/21/13	1	21	15	10.61
20.67	1/21/13	1	21	16	10.61
20.71	1/21/13	1	21	17	10.62
20.75	1/21/13	1	21	18	10.62
20.79	1/21/13	1	21	19	10.62
20.83	1/21/13	1	21	20	10.63
20.87	1/21/13	1	21	21	10.63
20.92	1/21/13	1	21	22	10.63
20.96	1/21/13	1	21	23	10.64
21	1/22/13	1	22	0	10.64
21.04	1/22/13	1	22	1	10.64
21.08	1/22/13	1	22	2	10.65
21.12	1/22/13	1	22	3	10.65
21.17	1/22/13	1	22	4	10.65
21.21	1/22/13	1	22	5	10.66
21.25	1/22/13	1	22	6	10.66
21.29	1/22/13	1	22	7	10.66
21.33	1/22/13	1	22	8	10.67
21.37	1/22/13	1	22	9	10.67
21.42	1/22/13	1	22	10	10.67
21.46	1/22/13	1	22	11	10.68
21.5	1/22/13	1	22	12	10.68
21.54	1/22/13	1	22	13	10.68
21.58	1/22/13	1	22	14	10.69
21.62	1/22/13	1	22	15	10.69
21.67	1/22/13	1	22	16	10.69
21.71	1/22/13	1	22	17	10.69
21.75	1/22/13	1	22	18	10.7
21.79	1/22/13	1	22	19	10.7
21.83	1/22/13	1	22	20	10.7
21.87	1/22/13	1	22	21	10.71
21.92	1/22/13	1	22	22	10.71
21.96	1/22/13	1	22	23	10.71
22	1/23/13	1	23	0	10.72
22.04	1/23/13	1	23	1	10.72
22.08	1/23/13	1	23	2	10.72
22.12	1/23/13	1	23	3	10.73
22.17	1/23/13	1	23	4	10.73
22.21	1/23/13	1	23	5	10.73
22.25	1/23/13	1	23	6	10.74
22.29	1/23/13	1	23	7	10.74
22.33	1/23/13	1	23	8	10.74
22.37	1/23/13	1	23	9	10.75
22.42	1/23/13	1	23	10	10.75
22.46	1/23/13	1	23	11	10.75
22.5	1/23/13	1	23	12	10.76
22.54	1/23/13	1	23	13	10.76
22.58	1/23/13	1	23	14	10.76
22.62	1/23/13	1	23	15	10.77
22.67	1/23/13	1	23	16	10.77
22.71	1/23/13	1	23	17	10.77
22.75	1/23/13	1	23	18	10.78
22.79	1/23/13	1	23	19	10.78
22.83	1/23/13	1	23	20	10.78
22.87	1/23/13	1	23	21	10.78
22.92	1/23/13	1	23	22	10.79
22.96	1/23/13	1	23	23	10.79
23	1/24/13	1	24	0	10.79
23.04	1/24/13	1	24	1	10.8
23.08	1/24/13	1	24	2	10.8
23.12	1/24/13	1	24	3	10.8
23.17	1/24/13	1	24	4	10.81
23.21	1/24/13	1	24	5	10.81
23.25	1/24/13	1	24	6	10.81
23.29	1/24/13	1	24	7	10.82
23.33	1/24/13	1	24	8	10.82
23.37	1/24/13	1	24	9	10.82
23.42	1/24/13	1	24	10	10.83
23.46	1/24/13	1	24	11	10.83
23.5	1/24/13	1	24	12	10.83
23.54	1/24/13	1	24	13	10.84
23.58	1/24/13	1	24	14	10.84
23.62	1/24/13	1	24	15	10.84
23.67	1/24/13	1	24	16	10.85
23.71	1/24/13	1	24	17	10.85
23.75	1/24/13	1	24	18	10.85
23.79	1/24/13	1	24	19	10.86
23.83	1/24/13	1	24	20	10.86
23.87	1/24/13	1	24	21	10.86
23.92	1/24/13	1	24	22	10.86
23.96	1/24/13	1	24	23	10.87
24	1/25/13	1	25	0	10.87
24.04	1/25/13	1	25	1	10.87
24.08	1/25/13	1	25	2	10.88
24.12	1/25/13	1	25	3	10.88
24.17	1/25/13	1	25	4	10.88
24.21	1/25/13	1	25	5	10.89
24.25	1/25/13	1	25	6	10.89
24.29	1/25/13	1	25	7	10.89
24.33	1/25/13	1	25	8	10.9
24.37	1/25/13	1	25	9	10.9
24.42	1/25/13	1	25	10	10.9
24.46	1/25/13	1	25	11	10.91
24.5	1/25/13	1	25	12	10.91
24.54	1/25/13	1	25	13	10.91
24.58	1/25/13	1	25	14	10.92
24.62	1/25/13	1	25	15	10.92
24.67	1/25/13	1	25	16	10.92
24.71	1/25/13	1	25	17	10.93
24.75	1/25/13	1	25	18	10.93
24.79	1/25/13	1	25	19	10.93
24.83	1/25/13	1	25	20	10.94
24.87	1/25/13	1	25	21	10.94
24.92	1/25/13	1	25	22	10.94
24.96	1/25/13	1	25	23	10.94
25	1/26/13	1	26	0	10.95
25.04	1/26/13	1	26	1	10.95
25.08	1/26/13	1	26	2	10.95
25.12	1/26/13	1	26	3	10.96
25.17	1/26/13	1	26	4	10.96
25.21	1/26/13	1	26	5	10.96
25.25	1/26/13	1	26	6	10.97
25.29	1/26/13	1	26	7	10.97
25.33	1/26/13	1	26	8	10.97
25.37	1/26/13	1	26	9	10.98
25.42	1/26/13	1	26	10	10.98
25.46	1/26/13	1	26	11	10.98
25.5	1/26/13	1	26	12	10.99
25.54	1/26/13	1	26	13	10.99
25.58	1/26/13	1	26	14	10.99
25.62	1/26/13	1	26	15	11
25.67	1/26/13	1	26	16	11
25.71	1/26/13	1	26	17	11
25.75	1/26/13	1	26	18	11.01
25.79	1/26/13	1	26	19	11.01
25.83	1/26/13	1	26	20	11.01
25.87	1/26/13	1	26	21	11.01
25.92	1/26/13	1	26	22	11.02
25.96	1/26/13	1	26	23	11.02
26	1/27/13	1	27	0	11.02
26.04	1/27/13	1	27	1	11.03
26.08	1/27/13	1	27	2	11.03
26.12	1/27/13	1	27	3	11.03
26.17	1/27/13	1	27	4	11.04
26.21	1/27/13	1	27	5	11.04
26.25	1/27/13	1	27	6	11.04
26.29	1/27/13	1	27	7	11.05
26.33	1/27/13	1	27	8	11.05
26.37	1/27/13	1	27	9	11.05
26.42	1/27/13	1	27	10	11.06
26.46	1/27/13	1	27	11	11.06
26.5	1/27/13	1	27	12	11.06
26.54	1/27/13	1	27	13	11.07
26.58	1/27/13	1	27	14	11.07
26.62	1/27/13	1	27	15	11.07
26.67	1/27/13	1	27	16	11.08
26.71	1/27/13	1	27	17	11.08
26.75	1/27/13	1	27	18	11.08
26.79	1/27/13	1	27	19	11.09
26.83	1/27/13	1	27	20	11.09
26.87	1/27/13	1	27	21	11.09
26.92	1/27/13	1	27	22	11.09
26.96	1/27/13	1	27	23	11.1
27	1/28/13	1	28	0	11.1
27.04	1/28/13	1	28	1	11.1
27.08	1/28/13	1	28	2	11.11
27.12	1/28/13	1	28	3	11.11
27.17	1/28/13	1	28	4	11.11
27.21	1/28/13	1	28	5	11.12
27.25	1/28/13	1	28	6	11.12
27.29	1/28/13	1	28	7	11.12
27.33	1/28/13	1	28	8	11.13
27.37	1/28/13	1	28	9	11.13
27.42	1/28/13	1	28	10	11.13
27.46	1/28/13	1	28	11	11.14
27.5	1/28/13	1	28	12	11.14
27.54	1/28/13	1	28	13	11.14
27.58	1/28/13	1	28	14	11.15
27.62	1/28/13	1	28	15	11.15
27.67	1/28/13	1	28	16	11.15
27.71	1/28/13	1	28	17	11.16
27.75	1/28/13	1	28	18	11.16
27.79	1/28/13	1	28	19	11.16
27.83	1/28/13	1	28	20	11.16
27.87	1/28/13	1	28	21	11.17
27.92	1/28/13	1	28	22	11.17
27.96	1/28/13	1	28	23	11.17
28	1/29/13	1	29	0	11.18
28.04	1/29/13	1	29	1	11.18
28.08	1/29/13	1	29	2	11.18
28.12	1/29/13	1	29	3	11.19
28.17	1/29/13	1	29	4	11.19
28.21	1/29/13	1	29	5	11.19
28.25	1/29/13	1	29	6	11.2
28.29	1/29/13	1	29	7	11.2
28.33	1/29/13	1	29	8	11.2
28.37	1/29/13	1	29	9	11.21
28.42	1/29/13	1	29	10	11.21
28.46	1/29/13	1	29	11	11.21
28.5	1/29/13	1	29	12	11.22
28.54	1/29/13	1	29	13	11.22
28.58	1/29/13	1	29	14	11.22
28.62	1/29/13	1	29	15	11.22
28.67	1/29/13	1	29	16	11.23
28.71	1/29/13	1	29	17	11.23
28.75	1/29/13	1	29	18	11.23
28.79	1/29/13	1	29	19	11.24
28.83	1/29/13	1	29	20	11.24
28.87	1/29/13	1	29	21	11.24
28.92	1/29/13	1	29	22	11.25
28.96	1/29/13	1	29	23	11.25
29	1/30/13	1	30	0	11.25
29.04	1/30/13	1	30	1	11.26
29.08	1/30/13	1	30	2	11.26
29.12	1/30/13	1	30	3	11.26
29.17	1/30/13	1	30	4	11.27
29.21	1/30/13	1	30	5	11.27
29.25	1/30/13	1	30	6	11.27
29.29	1/30/13	1	30	7	11.28
