Date	Date (UTC)	Month	Day	Hour (UTC)	food
10.92	1/11/13	1	11	22	0.239028272
10.96	1/11/13	1	11	23	0.196725901
11	1/12/13	1	12	0	0.158513737
11.04	1/12/13	1	12	1	0.124403104
11.08	1/12/13	1	12	2	0.09440411
11.12	1/12/13	1	12	3	0.068525645
11.17	1/12/13	1	12	4	0.046775375
11.21	1/12/13	1	12	5	0.029159748
11.25	1/12/13	1	12	6	0.015683982
11.29	1/12/13	1	12	7	0.00635207
11.33	1/12/13	1	12	8	0.001166779
11.37	1/12/13	1	12	9	0.000129644
11.42	1/12/13	1	12	10	0.003240972
11.46	1/12/13	1	12	11	0.010499843
11.5	1/12/13	1	12	12	0.021904104
11.54	1/12/13	1	12	13	0.037450376
11.58	1/12/13	1	12	14	0.057134054
11.62	1/12/13	1	12	15	0.080949303
11.67	1/12/13	1	12	16	0.108889068
11.71	1/12/13	1	12	17	0.140945069
11.75	1/12/13	1	12	18	0.177107806
11.79	1/12/13	1	12	19	0.217366565
11.83	1/12/13	1	12	20	0.261709416
11.87	1/12/13	1	12	21	0.310123219
11.92	1/12/13	1	12	22	0.362593628
11.96	1/12/13	1	12	23	0.419105094
12	1/13/13	1	13	0	0.479640873
12.04	1/13/13	1	13	1	0.544183026
12.08	1/13/13	1	13	2	0.612712428
12.12	1/13/13	1	13	3	0.685208772
12.17	1/13/13	1	13	4	0.761650576
12.21	1/13/13	1	13	5	0.842015189
12.25	1/13/13	1	13	6	0.926278796
12.29	1/13/13	1	13	7	1.01441643
12.33	1/13/13	1	13	8	1.106401972
12.37	1/13/13	1	13	9	1.202208165
12.42	1/13/13	1	13	10	1.301806621
12.46	1/13/13	1	13	11	1.405167825
12.5	1/13/13	1	13	12	1.51226115
12.54	1/13/13	1	13	13	1.623054861
12.58	1/13/13	1	13	14	1.737516128
12.62	1/13/13	1	13	15	1.855611034
12.67	1/13/13	1	13	16	1.977304584
12.71	1/13/13	1	13	17	2.102560719
12.75	1/13/13	1	13	18	2.231342321
12.79	1/13/13	1	13	19	2.363611231
12.83	1/13/13	1	13	20	2.499328254
12.87	1/13/13	1	13	21	2.638453174
12.92	1/13/13	1	13	22	2.780944766
12.96	1/13/13	1	13	23	2.926760805
13	1/14/13	1	14	0	3.075858085
13.04	1/14/13	1	14	1	3.228192424
13.08	1/14/13	1	14	2	3.383718681
13.12	1/14/13	1	14	3	3.542390772
13.17	1/14/13	1	14	4	3.704161679
13.21	1/14/13	1	14	5	3.868983464
13.25	1/14/13	1	14	6	4.036807288
13.29	1/14/13	1	14	7	4.207583421
13.33	1/14/13	1	14	8	4.381261259
13.37	1/14/13	1	14	9	4.557789336
13.42	1/14/13	1	14	10	4.737115345
13.46	1/14/13	1	14	11	4.919186146
13.5	1/14/13	1	14	12	5.103947788
13.54	1/14/13	1	14	13	5.291345522
13.58	1/14/13	1	14	14	5.481323818
13.62	1/14/13	1	14	15	5.673826383
13.67	1/14/13	1	14	16	5.868796172
13.71	1/14/13	1	14	17	6.066175412
13.75	1/14/13	1	14	18	6.265905616
13.79	1/14/13	1	14	19	6.467927598
13.83	1/14/13	1	14	20	6.672181497
13.87	1/14/13	1	14	21	6.878606786
13.92	1/14/13	1	14	22	7.087142298
13.96	1/14/13	1	14	23	7.297726238
14	1/15/13	1	15	0	7.510296207
14.04	1/15/13	1	15	1	7.724789216
14.08	1/15/13	1	15	2	7.941141704
14.12	1/15/13	1	15	3	8.159289563
14.17	1/15/13	1	15	4	8.379168151
14.21	1/15/13	1	15	5	8.600712313
14.25	1/15/13	1	15	6	8.8238564
14.29	1/15/13	1	15	7	9.04853429
14.33	1/15/13	1	15	8	9.274679406
14.37	1/15/13	1	15	9	9.502224736
14.42	1/15/13	1	15	10	9.731102855
14.46	1/15/13	1	15	11	9.96124594
14.5	1/15/13	1	15	12	10.19258579
14.54	1/15/13	1	15	13	10.42505387
14.58	1/15/13	1	15	14	10.65858128
14.62	1/15/13	1	15	15	10.89309882
14.67	1/15/13	1	15	16	11.128537
14.71	1/15/13	1	15	17	11.36482606
14.75	1/15/13	1	15	18	11.60189598
14.79	1/15/13	1	15	19	11.83967651
14.83	1/15/13	1	15	20	12.07809719
14.87	1/15/13	1	15	21	12.31708737
14.92	1/15/13	1	15	22	12.55657624
14.96	1/15/13	1	15	23	12.79649282
15	1/16/13	1	16	0	13.03676602
15.04	1/16/13	1	16	1	13.27732466
15.08	1/16/13	1	16	2	13.51809744
15.12	1/16/13	1	16	3	13.75901301
15.17	1/16/13	1	16	4	14
15.21	1/16/13	1	16	5	14.24098699
15.25	1/16/13	1	16	6	14.48190256
15.29	1/16/13	1	16	7	14.72267534
15.33	1/16/13	1	16	8	14.96323398
15.37	1/16/13	1	16	9	15.20350718
15.42	1/16/13	1	16	10	15.44342376
15.46	1/16/13	1	16	11	15.68291263
15.5	1/16/13	1	16	12	15.92190281
15.54	1/16/13	1	16	13	16.16032349
15.58	1/16/13	1	16	14	16.39810402
15.62	1/16/13	1	16	15	16.63517394
15.67	1/16/13	1	16	16	16.871463
15.71	1/16/13	1	16	17	17.10690118
15.75	1/16/13	1	16	18	17.34141872
15.79	1/16/13	1	16	19	17.57494613
15.83	1/16/13	1	16	20	17.80741421
15.87	1/16/13	1	16	21	18.03875406
15.92	1/16/13	1	16	22	18.26889715
15.96	1/16/13	1	16	23	18.49777526
16	1/17/13	1	17	0	18.72532059
16.04	1/17/13	1	17	1	18.95146571
16.08	1/17/13	1	17	2	19.1761436
16.12	1/17/13	1	17	3	19.39928769
16.17	1/17/13	1	17	4	19.62083185
16.21	1/17/13	1	17	5	19.84071044
16.25	1/17/13	1	17	6	20.0588583
16.29	1/17/13	1	17	7	20.27521078
16.33	1/17/13	1	17	8	20.48970379
16.37	1/17/13	1	17	9	20.70227376
16.42	1/17/13	1	17	10	20.9128577
16.46	1/17/13	1	17	11	21.12139321
16.5	1/17/13	1	17	12	21.3278185
16.54	1/17/13	1	17	13	21.5320724
16.58	1/17/13	1	17	14	21.73409438
16.62	1/17/13	1	17	15	21.93382459
16.67	1/17/13	1	17	16	22.13120383
16.71	1/17/13	1	17	17	22.32617362
16.75	1/17/13	1	17	18	22.51867618
16.79	1/17/13	1	17	19	22.70865448
16.83	1/17/13	1	17	20	22.89605221
16.87	1/17/13	1	17	21	23.08081385
16.92	1/17/13	1	17	22	23.26288466
16.96	1/17/13	1	17	23	23.44221066
17	1/18/13	1	18	0	23.61873874
17.04	1/18/13	1	18	1	23.79241658
17.08	1/18/13	1	18	2	23.96319271
17.12	1/18/13	1	18	3	24.13101654
17.17	1/18/13	1	18	4	24.29583832
17.21	1/18/13	1	18	5	24.45760923
17.25	1/18/13	1	18	6	24.61628132
17.29	1/18/13	1	18	7	24.77180758
17.33	1/18/13	1	18	8	24.92414191
17.37	1/18/13	1	18	9	25.07323919
17.42	1/18/13	1	18	10	25.21905523
17.46	1/18/13	1	18	11	25.36154683
17.5	1/18/13	1	18	12	25.50067175
17.54	1/18/13	1	18	13	25.63638877
17.58	1/18/13	1	18	14	25.76865768
17.62	1/18/13	1	18	15	25.89743928
17.67	1/18/13	1	18	16	26.02269542
17.71	1/18/13	1	18	17	26.14438897
17.75	1/18/13	1	18	18	26.26248387
17.79	1/18/13	1	18	19	26.37694514
17.83	1/18/13	1	18	20	26.48773885
17.87	1/18/13	1	18	21	26.59483218
17.92	1/18/13	1	18	22	26.69819338
17.96	1/18/13	1	18	23	26.79779183
18	1/19/13	1	19	0	26.89359803
18.04	1/19/13	1	19	1	26.98558357
18.08	1/19/13	1	19	2	27.0737212
18.12	1/19/13	1	19	3	27.15798481
18.17	1/19/13	1	19	4	27.23834942
18.21	1/19/13	1	19	5	27.31479123
18.25	1/19/13	1	19	6	27.38728757
18.29	1/19/13	1	19	7	27.45581697
18.33	1/19/13	1	19	8	27.52035913
18.37	1/19/13	1	19	9	27.58089491
18.42	1/19/13	1	19	10	27.63740637
18.46	1/19/13	1	19	11	27.68987678
18.5	1/19/13	1	19	12	27.73829058
18.54	1/19/13	1	19	13	27.78263343
18.58	1/19/13	1	19	14	27.82289219
18.62	1/19/13	1	19	15	27.85905493
18.67	1/19/13	1	19	16	27.89111093
18.71	1/19/13	1	19	17	27.9190507
18.75	1/19/13	1	19	18	27.94286595
18.79	1/19/13	1	19	19	27.96254962
18.83	1/19/13	1	19	20	27.9780959
18.87	1/19/13	1	19	21	27.98950016
18.92	1/19/13	1	19	22	27.99675903
18.96	1/19/13	1	19	23	27.99987036
19	1/20/13	1	20	0	27.99883322
19.04	1/20/13	1	20	1	27.99364793
19.08	1/20/13	1	20	2	27.98431602
19.12	1/20/13	1	20	3	27.97084025
19.17	1/20/13	1	20	4	27.95322462
19.21	1/20/13	1	20	5	27.93147436
19.25	1/20/13	1	20	6	27.90559589
19.29	1/20/13	1	20	7	27.8755969
19.33	1/20/13	1	20	8	27.84148626
19.37	1/20/13	1	20	9	27.8032741
19.42	1/20/13	1	20	10	27.76097173
19.46	1/20/13	1	20	11	27.71459168
19.5	1/20/13	1	20	12	27.66414771
19.54	1/20/13	1	20	13	27.60965475
19.58	1/20/13	1	20	14	27.55112896
19.62	1/20/13	1	20	15	27.48858768
19.67	1/20/13	1	20	16	27.42204944
19.71	1/20/13	1	20	17	27.35153395
19.75	1/20/13	1	20	18	27.27706212
19.79	1/20/13	1	20	19	27.19865601
19.83	1/20/13	1	20	20	27.11633885
19.87	1/20/13	1	20	21	27.03013503
19.92	1/20/13	1	20	22	26.94007011
19.96	1/20/13	1	20	23	26.84617076
20	1/21/13	1	21	0	26.74846482
20.04	1/21/13	1	21	1	26.64698123
20.08	1/21/13	1	21	2	26.54175007
20.12	1/21/13	1	21	3	26.43280252
20.17	1/21/13	1	21	4	26.32017086
20.21	1/21/13	1	21	5	26.20388846
20.25	1/21/13	1	21	6	26.08398979
20.29	1/21/13	1	21	7	25.96051038
20.33	1/21/13	1	21	8	25.8334868
20.37	1/21/13	1	21	9	25.70295671
20.42	1/21/13	1	21	10	25.56895878
20.46	1/21/13	1	21	11	25.43153272
20.5	1/21/13	1	21	12	25.29071925
20.54	1/21/13	1	21	13	25.14656009
20.58	1/21/13	1	21	14	24.99909797
20.62	1/21/13	1	21	15	24.84837658
20.67	1/21/13	1	21	16	24.69444058
20.71	1/21/13	1	21	17	24.53733559
20.75	1/21/13	1	21	18	24.37710815
20.79	1/21/13	1	21	19	24.21380576
20.83	1/21/13	1	21	20	24.04747679
20.87	1/21/13	1	21	21	23.87817054
20.92	1/21/13	1	21	22	23.70593718
20.96	1/21/13	1	21	23	23.53082773
21	1/22/13	1	22	0	23.3528941
21.04	1/22/13	1	22	1	23.172189
21.08	1/22/13	1	22	2	22.98876599
21.12	1/22/13	1	22	3	22.8026794
21.17	1/22/13	1	22	4	22.6139844
21.21	1/22/13	1	22	5	22.42273689
21.25	1/22/13	1	22	6	22.22899353
21.29	1/22/13	1	22	7	22.03281175
21.33	1/22/13	1	22	8	21.83424967
21.37	1/22/13	1	22	9	21.63336614
21.42	1/22/13	1	22	10	21.43022067
21.46	1/22/13	1	22	11	21.22487347
21.5	1/22/13	1	22	12	21.01738539
21.54	1/22/13	1	22	13	20.8078179
21.58	1/22/13	1	22	14	20.59623311
21.62	1/22/13	1	22	15	20.38269371
21.67	1/22/13	1	22	16	20.16726298
21.71	1/22/13	1	22	17	19.95000476
21.75	1/22/13	1	22	18	19.73098342
21.79	1/22/13	1	22	19	19.51026387
21.83	1/22/13	1	22	20	19.28791151
21.87	1/22/13	1	22	21	19.06399223
21.92	1/22/13	1	22	22	18.83857238
21.96	1/22/13	1	22	23	18.61171875
22	1/23/13	1	23	0	18.38349857
22.04	1/23/13	1	23	1	18.15397947
22.08	1/23/13	1	23	2	17.92322945
22.12	1/23/13	1	23	3	17.6913169
22.17	1/23/13	1	23	4	17.45831053
22.21	1/23/13	1	23	5	17.22427938
22.25	1/23/13	1	23	6	16.98929282
22.29	1/23/13	1	23	7	16.75342046
22.33	1/23/13	1	23	8	16.5167322
22.37	1/23/13	1	23	9	16.27929818
22.42	1/23/13	1	23	10	16.04118876
22.46	1/23/13	1	23	11	15.80247448
22.5	1/23/13	1	23	12	15.5632261
22.54	1/23/13	1	23	13	15.3235145
22.58	1/23/13	1	23	14	15.08341071
22.62	1/23/13	1	23	15	14.84298588
22.67	1/23/13	1	23	16	14.60231126
22.71	1/23/13	1	23	17	14.36145816
22.75	1/23/13	1	23	18	14.12049796
22.79	1/23/13	1	23	19	13.87950204
22.83	1/23/13	1	23	20	13.63854184
22.87	1/23/13	1	23	21	13.39768874
22.92	1/23/13	1	23	22	13.15701412
22.96	1/23/13	1	23	23	12.91658929
23	1/24/13	1	24	0	12.6764855
23.04	1/24/13	1	24	1	12.4367739
23.08	1/24/13	1	24	2	12.19752552
23.12	1/24/13	1	24	3	11.95881124
23.17	1/24/13	1	24	4	11.72070182
23.21	1/24/13	1	24	5	11.4832678
23.25	1/24/13	1	24	6	11.24657954
23.29	1/24/13	1	24	7	11.01070718
23.33	1/24/13	1	24	8	10.77572062
23.37	1/24/13	1	24	9	10.54168947
23.42	1/24/13	1	24	10	10.3086831
23.46	1/24/13	1	24	11	10.07677055
23.5	1/24/13	1	24	12	9.84602053
23.54	1/24/13	1	24	13	9.616501427
23.58	1/24/13	1	24	14	9.388281249
23.62	1/24/13	1	24	15	9.161427623
23.67	1/24/13	1	24	16	8.93600777
23.71	1/24/13	1	24	17	8.712088487
23.75	1/24/13	1	24	18	8.489736127
23.79	1/24/13	1	24	19	8.269016577
23.83	1/24/13	1	24	20	8.04999524
23.87	1/24/13	1	24	21	7.832737019
23.92	1/24/13	1	24	22	7.617306291
23.96	1/24/13	1	24	23	7.403766893
24	1/25/13	1	25	0	7.1921821
24.04	1/25/13	1	25	1	6.982614612
24.08	1/25/13	1	25	2	6.775126526
24.12	1/25/13	1	25	3	6.569779326
24.17	1/25/13	1	25	4	6.36663386
24.21	1/25/13	1	25	5	6.165750326
24.25	1/25/13	1	25	6	5.967188249
24.29	1/25/13	1	25	7	5.771006468
24.33	1/25/13	1	25	8	5.577263115
24.37	1/25/13	1	25	9	5.386015601
24.42	1/25/13	1	25	10	5.197320596
24.46	1/25/13	1	25	11	5.011234015
24.5	1/25/13	1	25	12	4.827810999
24.54	1/25/13	1	25	13	4.647105901
24.58	1/25/13	1	25	14	4.469172267
24.62	1/25/13	1	25	15	4.294062824
24.67	1/25/13	1	25	16	4.121829458
24.71	1/25/13	1	25	17	3.952523209
24.75	1/25/13	1	25	18	3.786194243
24.79	1/25/13	1	25	19	3.622891848
24.83	1/25/13	1	25	20	3.462664415
24.87	1/25/13	1	25	21	3.305559421
24.92	1/25/13	1	25	22	3.151623421
24.96	1/25/13	1	25	23	3.000902029
25	1/26/13	1	26	0	2.853439907
25.04	1/26/13	1	26	1	2.709280752
25.08	1/26/13	1	26	2	2.56846728
25.12	1/26/13	1	26	3	2.431041218
25.17	1/26/13	1	26	4	2.297043288
25.21	1/26/13	1	26	5	2.166513197
25.25	1/26/13	1	26	6	2.039489624
25.29	1/26/13	1	26	7	1.916010207
25.33	1/26/13	1	26	8	1.796111538
25.37	1/26/13	1	26	9	1.679829144
25.42	1/26/13	1	26	10	1.567197483
25.46	1/26/13	1	26	11	1.45824993
25.5	1/26/13	1	26	12	1.353018767
25.54	1/26/13	1	26	13	1.251535179
25.58	1/26/13	1	26	14	1.153829235
25.62	1/26/13	1	26	15	1.059929889
25.67	1/26/13	1	26	16	0.969864965
25.71	1/26/13	1	26	17	0.883661152
25.75	1/26/13	1	26	18	0.801343993
25.79	1/26/13	1	26	19	0.72293788
25.83	1/26/13	1	26	20	0.648466047
25.87	1/26/13	1	26	21	0.577950562
25.92	1/26/13	1	26	22	0.51141232
25.96	1/26/13	1	26	23	0.448871038
26	1/27/13	1	27	0	0.390345247
26.04	1/27/13	1	27	1	0.335852291
26.08	1/27/13	1	27	2	0.285408317
26.12	1/27/13	1	27	3	0.239028272
26.17	1/27/13	1	27	4	0.196725901
26.21	1/27/13	1	27	5	0.158513737
26.25	1/27/13	1	27	6	0.124403104
26.29	1/27/13	1	27	7	0.09440411
26.33	1/27/13	1	27	8	0.068525645
26.37	1/27/13	1	27	9	0.046775375
26.42	1/27/13	1	27	10	0.029159748
26.46	1/27/13	1	27	11	0.015683982
26.5	1/27/13	1	27	12	0.00635207
26.54	1/27/13	1	27	13	0.001166779
26.58	1/27/13	1	27	14	0.000129644
26.62	1/27/13	1	27	15	0.003240972
26.67	1/27/13	1	27	16	0.010499843
26.71	1/27/13	1	27	17	0.021904104
26.75	1/27/13	1	27	18	0.037450376
26.79	1/27/13	1	27	19	0.057134054
26.83	1/27/13	1	27	20	0.080949303
26.87	1/27/13	1	27	21	0.108889068
26.92	1/27/13	1	27	22	0.140945069
26.96	1/27/13	1	27	23	0.177107806
